,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,regime_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,filler_plot,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,1,2.29438734691326e-139,1.17829358775648e-22,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,2.29438734691326e-138,1.17829358775648e-21
1,2,2,1.93457437667053e-161,2.4294442052919e-19,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.93457437667053e-160,2.4294442052918998e-18
2,3,3,6.42717562649452e-137,1.2595469282449001e-24,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,6.42717562649452e-136,1.2595469282449001e-23
3,4,4,4.26899862077451e-131,6.4523780221328105e-31,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,4.26899862077451e-130,6.45237802213281e-30
4,5,5,1.37806641916023e-144,3.68087677677518e-18,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.37806641916023e-143,3.68087677677518e-17
5,6,6,8.696603195294051e-131,9.66206369877514e-22,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,8.696603195294051e-130,9.66206369877514e-21
6,7,7,6.199989122545671e-121,1.21748082692695e-25,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,6.19998912254567e-120,1.21748082692695e-24
7,8,8,1.04653078383657e-132,3.41593430254194e-23,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.04653078383657e-131,3.41593430254194e-22
8,9,9,6.538650961413449e-138,2.1196044092192102e-21,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,6.538650961413449e-137,2.1196044092192103e-20
9,10,10,4.01907334820788e-151,1.03693816501127e-18,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,4.0190733482078805e-150,1.0369381650112701e-17
10,11,11,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
11,12,12,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
12,13,13,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
13,14,14,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
14,15,15,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
15,16,16,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
16,17,17,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
17,18,18,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
18,19,19,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
19,20,20,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
20,21,21,1.34618861025269e-12,0.378242156422625,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.3461886102526899e-11,1.0
21,22,22,5.054779136603089e-16,0.302794517287932,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,5.05477913660309e-15,1.0
22,23,23,9.86962449227938e-15,0.353973433603332,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,9.86962449227938e-14,1.0
23,24,24,2.61205049533824e-15,0.322114538564046,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,2.61205049533824e-14,1.0
24,25,25,2.6753266470926e-15,0.430775316159804,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,2.6753266470926003e-14,1.0
25,26,26,5.317140456856829e-11,0.0193340258809827,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,5.317140456856829e-10,0.19334025880982703
26,27,27,3.17669624868026e-16,0.568267126652462,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,3.1766962486802598e-15,1.0
27,28,28,5.87189030480346e-13,0.562867487934521,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,5.87189030480346e-12,1.0
28,29,29,1.3379506996248301e-17,0.90186003537463,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.33795069962483e-16,1.0
29,30,30,5.62415353913724e-13,0.0440293355505009,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,5.62415353913724e-12,0.440293355505009
30,31,31,0.0,0.0009808316823247,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.009808316823247
31,32,32,0.0,0.000634694563293,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.00634694563293
32,33,33,0.0,0.0653220047242283,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.6532200472422831
33,34,34,0.0,5.81876602777642e-05,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0005818766027776421
34,35,35,0.0,0.0052275613219483,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.052275613219483
35,36,36,0.0,0.0006050204413549,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.006050204413549
36,37,37,0.0,0.0359449070210749,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.35944907021074896
37,38,38,0.0,0.0027777320233203,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.027777320233203
38,39,39,0.0,0.004062215143342,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.040622151433419997
39,40,40,0.0,0.0160215989251491,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.160215989251491
40,41,41,4.56873386443947e-79,7.49221091468794e-21,Hunting,0,linear,True,P,standard_contxt,1,1,0,1,1,4.56873386443947e-78,7.49221091468794e-20
