,Unnamed: 0,X,surp_p_val,prev_surp_p_val,has_preview_condition,reread_condition,linear,additive_model,context,context_type,regime_plot,exclude_RegimeRepeatedReading,only_RegimeRepeatedReading,Regular,filler_plot,corrected_surp_p_val,corrected_prev_surp_p_val
0,1,1,7.82314580610888e-140,9.739680948037609e-22,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,7.82314580610888e-139,9.739680948037609e-21
1,2,2,1.06077774822225e-145,4.91359015495184e-24,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.06077774822225e-144,4.9135901549518403e-23
2,3,3,2.15844676639681e-127,1.4457983593329701e-19,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,2.1584467663968098e-126,1.4457983593329702e-18
3,4,4,1.77461160106553e-134,8.89984912332954e-28,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.77461160106553e-133,8.89984912332954e-27
4,5,5,2.8146278677105502e-132,3.16601190339525e-19,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,2.8146278677105504e-131,3.1660119033952502e-18
5,6,6,1.8201425434208598e-128,1.42598009417508e-22,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.8201425434208597e-127,1.42598009417508e-21
6,7,7,1.74568008984502e-144,9.16507772685356e-18,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.74568008984502e-143,9.165077726853559e-17
7,8,8,1.2212313207332502e-112,7.32902000826383e-23,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,1.2212313207332501e-111,7.329020008263829e-22
8,9,9,5.89247922114554e-124,3.63341555138802e-28,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,5.89247922114554e-123,3.63341555138802e-27
9,10,10,4.3155774481418e-134,1.7950693917855202e-21,Gathering,0,linear,True,P,standard_contxt,1,1,0,1,1,4.3155774481418e-133,1.7950693917855204e-20
10,11,11,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
11,12,12,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
12,13,13,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
13,14,14,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
14,15,15,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
15,16,16,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
16,17,17,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
17,18,18,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
18,19,19,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
19,20,20,0.0,0.0,Gathering,0,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.0
20,21,21,9.06693669325236e-13,0.264966373858156,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,9.06693669325236e-12,1.0
21,22,22,5.1383791544001904e-14,0.927541750243466,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,5.138379154400191e-13,1.0
22,23,23,5.71002334521001e-12,0.80130481108896,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,5.71002334521001e-11,1.0
23,24,24,7.8889247457875e-07,0.0868959685134655,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,7.8889247457875e-06,0.8689596851346549
24,25,25,2.43233677292213e-12,0.207654455034201,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,2.4323367729221298e-11,1.0
25,26,26,1.95639914275742e-10,0.459746792768081,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,1.95639914275742e-09,1.0
26,27,27,8.99392714013753e-16,0.470953124553162,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,8.99392714013753e-15,1.0
27,28,28,3.4273269873994e-11,0.0223137196385063,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,3.4273269873994e-10,0.223137196385063
28,29,29,2.16335742908909e-11,0.537163750049585,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,2.16335742908909e-10,1.0
29,30,30,7.59812503785023e-18,0.639045554220858,Gathering,1,linear,True,P,standard_contxt,1,1,0,1,1,7.59812503785023e-17,1.0
30,31,31,0.0,0.0003080823046021,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.003080823046021
31,32,32,0.0,0.0018416623967295,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.018416623967295
32,33,33,0.0,0.0707528800370769,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.707528800370769
33,34,34,0.0,0.0050022268853494,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.050022268853494
34,35,35,2.9781001548157e-07,0.0043992107777389,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,2.9781001548156998e-06,0.043992107777389
35,36,36,0.0,0.0096250291389237,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.09625029138923699
36,37,37,0.0,0.0422114448366541,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.422114448366541
37,38,38,0.0,0.0037734172203726,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.037734172203726005
38,39,39,0.0,0.0081841670919731,Gathering,1,nonlinear,True,P,standard_contxt,1,1,0,1,1,0.0,0.081841670919731
